C,senior_citizen,tenure,monthly_charges,total_charges,num_support_calls,has_partner,has_dependents,gender_Male,contract_type_One year,contract_type_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018329807108324356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003359818286283781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006158482110660267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011288378916846888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02069138081114789,0.0,-0.1214466194172032,0.0,0.0,0.0,0.0,0.0,0.0,-0.06161134149507812,-0.16378396549863286,0.0,0.0,0.0,0.0,0.0
0.0379269019073225,0.0,-0.22969314985215633,0.04043481120637672,0.0,0.0,0.0,0.0,0.0,-0.207364848305452,-0.34635757382090177,0.0,0.0,0.0,0.0,0.0
0.06951927961775606,0.0,-0.2979438663624907,0.10465879548258625,0.0,0.0,0.02756357107004186,0.0,0.019494114283496802,-0.2995684838010333,-0.4747738723320669,0.0,0.0,0.0,0.0,-0.021726144012638074
0.12742749857031335,0.0,-0.3394939184865544,0.14284584345775478,0.0,0.03468705878848743,0.06417709211540963,0.0,0.056539779803036073,-0.35642158195229456,-0.5605295405019609,0.0047722023975501834,0.0,0.0,0.0,-0.053140284499182906
0.23357214690901212,0.0,-0.36418893281265985,0.1647456756561023,0.0,0.055281204380006325,0.0855762241644681,0.0,0.07793602366975658,-0.38940979146872207,-0.6139465807481879,0.01964002426410048,-0.005004348766385697,0.0018573054613585907,0.0,-0.07092881827962605
0.42813323987193913,0.0,-0.3497572164313898,0.19494458144708052,-0.03747505872476627,0.06670150044084808,0.09694942002306554,0.0,0.09019404228140598,-0.4085832600223529,-0.6448343112455108,0.02620140041270588,-0.013840891842245693,0.009575600121389796,0.0,-0.07832963693440406
0.7847599703514607,0.004461393565005451,-0.3319857002613932,0.21750067049529934,-0.07129175572008219,0.07300724449436345,0.10309466103924293,0.0,0.09709548908786485,-0.41934464802169535,-0.6622261597519529,0.029886433419827545,-0.019006148460250255,0.014283984219813766,0.0013889978630504743,-0.08170231626619831
1.438449888287663,0.006937969292092222,-0.32186670412676555,0.23009664486226622,-0.09026661578853852,0.07649919630055134,0.10648586760024456,0.0,0.10084956626734436,-0.425344701419917,-0.671972339058261,0.03207983182667707,-0.021782160862094366,0.018834979939016457,0.0060170154054241375,-0.08161890924427506
2.636650898730358,0.008288036745613906,-0.3161850739686784,0.23705438037318693,-0.10079468425301806,0.07841442352988,0.10834913428011751,0.0,0.1029168567181354,-0.42865283677007193,-0.6773806866514396,0.03328380114402982,-0.02331187427212554,0.0213360161264826,0.008558529159632157,-0.08157063160747105
4.832930238571752,0.009025965445213198,-0.3132238798435278,0.2407883145041477,-0.10644666018013685,0.07945805781142332,0.10937119731071425,-0.00013763699939691124,0.10404080112162373,-0.4304704856542988,-0.6803630120914876,0.03393843003544687,-0.024156109449142073,0.022708810421283872,0.00994962778557258,-0.08155537774067398
8.858667904100823,0.00941599126424546,-0.3115488583211976,0.24288340963275015,-0.10958338050536591,0.08000718583506458,0.10992776532116406,-0.0006863182753419542,0.1046260094185426,-0.4314822552276911,-0.6819980526533358,0.03429458881334174,-0.024623288639170394,0.02347116528509335,0.010706324438462948,-0.08157150511702228
16.23776739188721,0.009628172239726472,-0.31064272081466504,0.24402874749958828,-0.1112993663821572,0.08030710545107815,0.11023134037710237,-0.000985301950889807,0.10494572366080945,-0.43203515439019735,-0.6828926568271699,0.034488815264222414,-0.024879364297229624,0.023887741536425557,0.011120461585839521,-0.08158020128517342
29.763514416313193,0.009743954113657366,-0.31014823389627166,0.24465384672994045,-0.11223598711936464,0.0804708175695909,0.11039708467487529,-0.0011485097462097266,0.10512029030960314,-0.4323370585228045,-0.6833814873378097,0.0345948295919697,-0.025019204118413203,0.024115149439703408,0.011346529194965467,-0.08158496300524634
54.555947811685144,0.009807126169687218,-0.30987837935990964,0.24499497351715704,-0.1127471531033818,0.08056015837946572,0.11048754502233732,-0.0012375778543386477,0.1052155696059155,-0.4325018441846686,-0.6836484025463697,0.03465268300188941,-0.025095535544756277,0.024239256512588167,0.01146990216846435,-0.08158756476164179
100.0,0.009841592121635073,-0.3097311330742049,0.2451811076688934,-0.11302607927769544,0.08060890688685345,0.11053690753776299,-0.001286178311548375,0.10526756288235646,-0.43259176810077254,-0.6837940889451902,0.03468425033126682,-0.025137190940626608,0.02430697697671943,0.011537221276720924,-0.08158898535224778
