C,senior_citizen,tenure,monthly_charges,total_charges,num_support_calls,has_partner,has_dependents,gender_Male,contract_type_One year,contract_type_Two year,internet_service_Fiber optic,internet_service_No,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check
0.001,0.0018129735189127893,-0.05069536981901511,0.028560134958487495,-0.027723328817288607,0.009539763924954368,0.015880608829149764,0.002858936461245049,0.011245711633650417,-0.0431600228837593,-0.06237607284831582,0.008314650949243354,-0.0024915829556757868,0.0058192828025666,0.005267207078580073,-0.013724067251931572
0.0018329807108324356,0.002955759338108179,-0.07439915655952785,0.04636628475008309,-0.03891245768957051,0.015052278941758373,0.023920610310743322,0.0037667194472380213,0.017440469875174502,-0.06961849043357614,-0.09865270638189945,0.011976872066126784,-0.0035945287090295972,0.008535890915818706,0.0071123202413777755,-0.02006530187757103
0.003359818286283781,0.004400555867629954,-0.10300826737928695,0.070385157560426,-0.05169237640912635,0.022373324764994942,0.03400852801861588,0.0044167839760208445,0.02577100081266028,-0.10634141810315079,-0.14824276879532974,0.01612540086750921,-0.00500521395278036,0.011658728519089176,0.008883860957861377,-0.02767254045575521
0.006158482110660267,0.005986228241360496,-0.13562399090848198,0.09984204919118823,-0.06582313248980025,0.03134689137124234,0.04593457394022592,0.004592825083872317,0.036401194238251444,-0.15321892993551475,-0.2119699100329532,0.020488650453418505,-0.006907364110880603,0.014930178113280478,0.010418545135594003,-0.03638748217209866
0.011288378916846888,0.007470621787192089,-0.17046605727728437,0.13259439378961685,-0.08057779079670105,0.041430759117728415,0.059122203019339,0.004190585430980841,0.0490386994101578,-0.20771100024669936,-0.28844900446202276,0.024724674492960286,-0.00942689826179883,0.018032816955959954,0.011605036111987823,-0.0457954076229519
0.02069138081114789,0.00861989420408682,-0.2045965093163421,0.16498636940329295,-0.09429878275759189,0.05162066685049561,0.07239641757968154,0.0032742885160583746,0.06259426222387496,-0.26429281969315377,-0.3725297521443062,0.02834902339196114,-0.012535027885987138,0.02059057666867074,0.012312009234194047,-0.05511705707412095
0.0379269019073225,0.009320284549553116,-0.23481431594954713,0.19292768851128456,-0.10508711752344603,0.06071248450945483,0.0842648971494782,0.002101546592438228,0.07534933613693556,-0.31594304775452914,-0.45549533009340465,0.03102160579576448,-0.015858158453466085,0.022379160500374674,0.012546938199701872,-0.0633619588971847
0.06951927961775606,0.009653637923100658,-0.2591291094842605,0.2138518045520573,-0.11186849374131054,0.0678621149739919,0.09364923015982692,0.0009839746217865744,0.08579197907893504,-0.35729522975839195,-0.5281285776397993,0.032730503661209324,-0.018874857895092995,0.02340646592936685,0.01244878259637482,-0.06983405829074375
0.12742749857031335,0.00978259015657447,-0.27723572361099574,0.227579410697275,-0.11490924898784056,0.07290430324933891,0.10027908912202914,0.00010397883853818092,0.09337118426832842,-0.38676847668409975,-0.5845304735436474,0.033677523393102295,-0.02120405991416242,0.023959275711522978,0.01222869791609393,-0.07443258260343075
0.23357214690901212,0.009832214962525435,-0.2897928377333446,0.23568426450154303,-0.11552022271975514,0.07613917072785827,0.10456924603348555,-0.00048464242818451446,0.09831404781035026,-0.405852899608721,-0.6239020071310478,0.03418963469076018,-0.02281278210847726,0.024212285467278324,0.012037274591933187,-0.07737302595508343
0.42813323987193913,0.009854758845116074,-0.29797252397419516,0.24015591029059133,-0.11508666540786416,0.07809889222140112,0.10717190452642437,-0.0008529423802484505,0.10133723610611309,-0.417451588639801,-0.6490801159646843,0.03444672933069767,-0.023821466193772612,0.02431203967816232,0.011872841965770748,-0.07918809933248544
